['206, curly-coated_retriever', '2023-07-28T17:25:38.754975', 0.017396926879882812, 0.05768871307373047, 0.07508563995361328]
['465, bulletproof_vest', '2023-07-28T17:25:40.800072', 0.004109382629394531, 0.030928611755371094, 0.035037994384765625]
['399, abaya', '2023-07-28T17:25:42.854743', 0.003949880599975586, 0.03194689750671387, 0.03589677810668945]
['660, mobile_home', '2023-07-28T17:25:44.940857', 0.0044481754302978516, 0.0320281982421875, 0.03647637367248535]
['556, fire_screen', '2023-07-28T17:25:47.085437', 0.004512786865234375, 0.0318450927734375, 0.036357879638671875]
['712, Petri_dish', '2023-07-28T17:25:49.048068', 0.004358530044555664, 0.03259444236755371, 0.036952972412109375]
['350, ibex', '2023-07-28T17:25:51.120102', 0.004368782043457031, 0.03272700309753418, 0.03709578514099121]
['926, hot_pot', '2023-07-28T17:25:53.192580', 0.004443168640136719, 0.0325319766998291, 0.03697514533996582]
['860, tobacco_shop', '2023-07-28T17:25:55.258687', 0.0034732818603515625, 0.03021383285522461, 0.03368711471557617]
['663, monastery', '2023-07-28T17:25:57.260009', 0.004438877105712891, 0.03287553787231445, 0.037314414978027344]
['743, prison', '2023-07-28T17:25:59.367140', 0.0038182735443115234, 0.03220939636230469, 0.03602766990661621]
['490, chain_mail', '2023-07-28T17:26:01.530496', 0.001912832260131836, 0.017888307571411133, 0.01980113983154297]
['724, pirate', '2023-07-28T17:26:03.604834', 0.0036640167236328125, 0.020729780197143555, 0.024393796920776367]
['80, black_grouse', '2023-07-28T17:26:05.744139', 0.004282951354980469, 0.033503055572509766, 0.037786006927490234]
['126, isopod', '2023-07-28T17:26:07.830139', 0.0019154548645019531, 0.017819643020629883, 0.019735097885131836]
['860, tobacco_shop', '2023-07-28T17:26:09.942147', 0.0044476985931396484, 0.029247045516967773, 0.03369474411010742]
['712, Petri_dish', '2023-07-28T17:26:11.938857', 0.003981828689575195, 0.03344440460205078, 0.03742623329162598]
['810, space_bar', '2023-07-28T17:26:13.954700', 0.003371715545654297, 0.030600309371948242, 0.03397202491760254]
['432, bassoon', '2023-07-28T17:26:16.024562', 0.004438638687133789, 0.031879425048828125, 0.036318063735961914]
['996, hen-of-the-woods', '2023-07-28T17:26:18.075389', 0.0038771629333496094, 0.03052067756652832, 0.03439784049987793]
['80, black_grouse', '2023-07-28T17:26:20.171606', 0.004287242889404297, 0.03277778625488281, 0.03706502914428711]
['399, abaya', '2023-07-28T17:26:22.208590', 0.004250764846801758, 0.03168940544128418, 0.03594017028808594]
['66, horned_viper', '2023-07-28T17:26:24.196190', 0.004372596740722656, 0.030434131622314453, 0.03480672836303711]
['687, organ', '2023-07-28T17:26:26.216766', 0.0042724609375, 0.034319400787353516, 0.038591861724853516]
['188, wire-haired_fox_terrier', '2023-07-28T17:26:28.232216', 0.004618644714355469, 0.032948970794677734, 0.0375676155090332]
['689, overskirt', '2023-07-28T17:26:30.309119', 0.004315614700317383, 0.03362846374511719, 0.03794407844543457]
['384, indri', '2023-07-28T17:26:32.278403', 0.0041234493255615234, 0.02016305923461914, 0.024286508560180664]
['291, lion', '2023-07-28T17:26:34.353734', 0.0038449764251708984, 0.022486209869384766, 0.026331186294555664]
['946, cardoon', '2023-07-28T17:26:36.396710', 0.00430750846862793, 0.030109405517578125, 0.034416913986206055]
