['days', '2023-07-28T16:45:47.609301', 3.814697265625e-06, 0.13262462615966797, 0.1326284408569336]
['in', '2023-07-28T16:45:49.612592', 3.814697265625e-06, 0.118438720703125, 0.11844253540039062]
['go', '2023-07-28T16:45:51.598133', 3.814697265625e-06, 0.14078712463378906, 0.1407909393310547]
['books', '2023-07-28T16:45:53.631390', 3.337860107421875e-06, 0.10977911949157715, 0.10978245735168457]
['looks', '2023-07-28T16:45:55.707953', 3.5762786865234375e-06, 0.09802746772766113, 0.09803104400634766]
['the', '2023-07-28T16:45:57.629247', 3.5762786865234375e-06, 0.13763642311096191, 0.13763999938964844]
['"', '2023-07-28T16:45:59.661659', 7.867813110351562e-06, 0.13446331024169922, 0.13447117805480957]
['call', '2023-07-28T16:46:01.662082', 4.291534423828125e-06, 0.13398957252502441, 0.13399386405944824]
['purpose', '2023-07-28T16:46:03.659492', 4.0531158447265625e-06, 0.09743261337280273, 0.09743666648864746]
['?', '2023-07-28T16:46:05.617462', 3.337860107421875e-06, 0.136824369430542, 0.13682770729064941]
['.', '2023-07-28T16:46:07.661036', 4.0531158447265625e-06, 0.09771418571472168, 0.0977182388305664]
['started', '2023-07-28T16:46:09.761559', 3.814697265625e-06, 0.1289811134338379, 0.12898492813110352]
['will', '2023-07-28T16:46:11.796723', 4.291534423828125e-06, 0.1240994930267334, 0.12410378456115723]
['how', '2023-07-28T16:46:13.867548', 4.0531158447265625e-06, 0.09824609756469727, 0.09825015068054199]
['on', '2023-07-28T16:46:15.881430', 4.0531158447265625e-06, 0.11075854301452637, 0.1107625961303711]
['don', '2023-07-28T16:46:17.947126', 4.0531158447265625e-06, 0.13652968406677246, 0.1365337371826172]
['if', '2023-07-28T16:46:19.900929', 3.814697265625e-06, 0.10644340515136719, 0.10644721984863281]
['good', '2023-07-28T16:46:21.877380', 3.5762786865234375e-06, 0.11046838760375977, 0.11047196388244629]
['room', '2023-07-28T16:46:23.896854', 4.5299530029296875e-06, 0.09822726249694824, 0.09823179244995117]
['are', '2023-07-28T16:46:25.885480', 3.5762786865234375e-06, 0.13408136367797852, 0.13408493995666504]
['you', '2023-07-28T16:46:27.935777', 3.5762786865234375e-06, 0.11978554725646973, 0.11978912353515625]
["'", '2023-07-28T16:46:29.931222', 4.0531158447265625e-06, 0.09858107566833496, 0.09858512878417969]
['your', '2023-07-28T16:46:31.878837', 4.291534423828125e-06, 0.1341404914855957, 0.13414478302001953]
['you', '2023-07-28T16:46:33.857067', 4.291534423828125e-06, 0.09843158721923828, 0.09843587875366211]
['even', '2023-07-28T16:46:35.831578', 4.0531158447265625e-06, 0.11070919036865234, 0.11071324348449707]
['bit', '2023-07-28T16:46:37.843655', 4.0531158447265625e-06, 0.12125015258789062, 0.12125420570373535]
['why', '2023-07-28T16:46:39.770205', 4.5299530029296875e-06, 0.10962629318237305, 0.10963082313537598]
['a', '2023-07-28T16:46:41.779872', 4.0531158447265625e-06, 0.0975341796875, 0.09753823280334473]
['a', '2023-07-28T16:46:43.745301', 4.5299530029296875e-06, 0.10988068580627441, 0.10988521575927734]
